stop_id,stop_name,latitude,longitude,platform_code,platform_name,municipality,wheelchair_accessible,parent_station,adress,description,zone,route_type
38492,Elm St opp Drinkwater Ave,42.226402,-70.992802,,,Braintree,1,,,,LocalBus,3
5236,Washington St @ Glen Rd,42.309317,-71.104587,,,Boston,1,,,,LocalBus,3
3181,Wilson Ave @ Mascoma St,42.267577,-71.03124,,,Quincy,1,,,,LocalBus,3
1184,Washington St opp Townsend St,42.320155,-71.094006,,,Boston,1,,,,LocalBus,3
632,Washington St @ Cornell St,42.279437,-71.135573,,,Boston,1,,,,LocalBus,3
15,Dorchester St @ Vinton St,42.330825,-71.054238,,,Boston,1,,,,LocalBus,3
8818,Main St @ Waverley Ave,42.369972,-71.191645,,,Watertown,1,,,,LocalBus,3
1104,N Beacon St opp Vineland St,42.357,-71.152801,,,Boston,1,,,,LocalBus,3
11735,Ames St @ Franklin Field,42.290104,-71.082689,,,Boston,1,,,,LocalBus,3
5911,Grove St @ Lebanon St,42.453508,-71.05947,,,Melrose,1,,,,LocalBus,3
17463,Central Ave @ Kennedy Dr,42.438142,-71.029756,,,Malden,1,,,,LocalBus,3
6517,Turtle Pond Pkwy @ Bajko Rink,42.248797,-71.138871,,,Boston,1,,,,LocalBus,3
38498,Middle St @ Townsend Ave,42.21672,-70.990871,,,Braintree,1,,,,LocalBus,3
71618,38 Washington St opp Sumner St,42.256336,-71.162993,,,Dedham,1,,,,LocalBus,3
33761,Gallivan Blvd opp Carruth St,42.281631,-71.059982,,,Boston,0,,,,LocalBus,3
7844,Crescent St @ Brown St,42.366263,-71.243254,,,Waltham,1,,,,LocalBus,3
7740,Crafts St @ Waltham St,42.360413,-71.222829,,,Newton,1,,,,LocalBus,3
78452,Maple St @ Moody St,42.367548,-71.237722,,,Waltham,1,,,,LocalBus,3
5392,Cross St @ Pelham St,42.420159,-71.061447,,,Malden,1,,,,LocalBus,3
2574,51 Bow St,42.38163,-71.098527,,,Somerville,0,,,,LocalBus,3
1709,Blue Hill Ave @ Greenock St,42.289639,-71.089874,,,Boston,1,,,,LocalBus,3
4222,S Main St @ Stoughton St,42.150475,-71.04427,,,Randolph,1,,,,LocalBus,3
5783,Beach St opp Nahant Ave,42.408817,-70.99548,,,Revere,1,,,,LocalBus,3
19,Dorchester St @ Old Harbor St,42.334495,-71.047576,,,Boston,1,,,,LocalBus,3
